experiment_id,model,split,T_low,T_high,accuracy,precision,recall,f1,auroc,pr_auc,avg_latency_ms,p95_latency_ms,heatmap_call_rate
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.05,0.5,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,29.440295000042195,41.48106276988983,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.03,0.5,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,25.614251965419328,36.492690443992615,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.02,0.5,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,27.47596461099436,38.98549824953079,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.01,0.5,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,27.064090690112653,36.13172471523285,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.005,0.5,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,32.48351975760386,43.19668561220169,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.002,0.5,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,27.26527419789329,38.76350820064545,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.001,0.5,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,26.161143833746927,32.39884227514267,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.05,0.3,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,27.90606206591564,35.24034470319748,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.03,0.3,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,27.161893458133374,36.28644347190857,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.02,0.3,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,25.530372671916176,34.09406542778015,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.01,0.3,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,26.077575706327345,31.96924179792404,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.005,0.3,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,26.910781860351562,34.17793661355972,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.002,0.3,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,28.631635161207743,37.17644512653351,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.001,0.3,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,22.353602251364308,24.73103255033493,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.05,0.2,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,22.62367906672736,25.085508823394775,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.03,0.2,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,26.158185056338578,31.745001673698425,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.02,0.2,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,28.862969952061576,34.013256430625916,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.01,0.2,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,27.586412372975584,35.15596687793732,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.005,0.2,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,28.144118896684432,32.9001322388649,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.002,0.2,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,49.49551998361217,97.08274900913239,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.001,0.2,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,35.20161261575583,68.66685301065445,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.05,0.1,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,28.39601309847917,34.54306721687317,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.03,0.1,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,29.879839968766586,45.40140926837921,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.02,0.1,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,25.01496711703677,27.014434337615967,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.01,0.1,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,25.515165601782634,27.504228055477142,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.005,0.1,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,25.232146550702538,27.202852070331573,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.002,0.1,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,25.28200274570906,27.27765589952469,0.0
gate_effnetb0_patchcore_r18,efficientnet_b0,test_mix,0.001,0.1,0.6603098927294399,0.0,0.0,0.0,0.543565140287542,0.3702470490088108,25.355878689007763,26.87562257051468,0.0
